gene_id,GSM883944,GSM883945,GSM883946,GSM883947,GSM883948,GSM883949,GSM883950,GSM883951,GSM883952,GSM883953,GSM883954,GSM883955,GSM883956,GSM883957,GSM883958,GSM883959,GSM883960,GSM883961,GSM883962,GSM883963,GSM883964,GSM883965,GSM883966,GSM883967,GSM883968,GSM883969,GSM883970,GSM883971,GSM883972,GSM883973,GSM883974,GSM883975,GSM883976,GSM883977,GSM883978,GSM883979,GSM883980,GSM883981,GSM883982,GSM883983,GSM883984,GSM883985,GSM883986,GSM883987,GSM883988,GSM883989,GSM883990,GSM883991,GSM883992,GSM883993,GSM883994,GSM883995,GSM883996,GSM883997,GSM883998,GSM883999,GSM884000,GSM884001,GSM884002,GSM884003,GSM884004,GSM884005,GSM884006,GSM884007,GSM884008,GSM884009,GSM884010,GSM884011,GSM884012,GSM884013,GSM884014,GSM884015,GSM884016,GSM884017,GSM884018,GSM884019,GSM884020,GSM884021,GSM884022,GSM884023,GSM884024,GSM884025,GSM884026,GSM884027,GSM884028,GSM884029,GSM884030,GSM884031,GSM884032,GSM884033,GSM884034,GSM884035,GSM884036,GSM884037,GSM884038,GSM884039,GSM884040,GSM884041,GSM884042,GSM884043,GSM884044,GSM884045,GSM884046,GSM884047,GSM884048,GSM884049,GSM884050,GSM884051,GSM884052,GSM884053,GSM884054,GSM884055,GSM884056,GSM884057,GSM884058,GSM884059,GSM884060,GSM884061,GSM884062,GSM884063,GSM884064,GSM884065,GSM884066,GSM884067,GSM884068,GSM884069,GSM884070,GSM884071,GSM884072,GSM884073,GSM884074,GSM884075,GSM884076,GSM884077,GSM884078,GSM884079,GSM884080,GSM884081,GSM884082,GSM884083,GSM884084,GSM884085,GSM884086,GSM884087,GSM884088,GSM884089,GSM884090,GSM884091,GSM884092,GSM884093,GSM884094,GSM884095,GSM884096,GSM884097,GSM884098,GSM884099,GSM884100,GSM884101,GSM884102,GSM884103,GSM884104,GSM884105,GSM884106,GSM884107,GSM884108,GSM884109,GSM884110,GSM884111,GSM884112,GSM884113,GSM884114,GSM884115,GSM884116,GSM884117,GSM884118,GSM884119,GSM884120,GSM884121,GSM884122,GSM884123,GSM884124,GSM884125,GSM884126,GSM884127,GSM884128,GSM884129,GSM884130,GSM884131,GSM884132,GSM884133,GSM884134,GSM884135,GSM884136,GSM884137,GSM884138,GSM884139,GSM884140,GSM884141,GSM884142,GSM884143,GSM884144,GSM884145,GSM884146,GSM884147,GSM884148,GSM884149,GSM884150,GSM884151,GSM884152,GSM884153,GSM884154,GSM884155,GSM884156,GSM884157,GSM884158,GSM884159,GSM884160,GSM884161,GSM884162,GSM884163,GSM884164
IL1RL1,3.07162,4.657981,3.617344,4.074291,3.383422,3.086491,3.907274,3.405244,4.389441,3.925456,3.724354,3.030908,4.224608,3.42046,2.737346,4.164141,4.282897,2.768674,3.056582,3.813432,3.376472,4.480047,3.612912,4.28134,4.110238,4.402175,3.291249,2.730855,3.973921,3.317806,4.306513,4.611814,3.499972,2.507014,3.970189,2.208216,3.983403,2.705136,2.588332,3.647443,3.018682,3.548728,3.382842,3.777937,3.771579,3.387597,2.557156,2.975596,3.248995,2.828902,3.665282,4.006104,3.625964,4.339036,3.508677,3.399843,3.279651,3.835314,3.492548,4.528187,2.889584,2.423609,3.976185,3.537013,2.883661,4.220221,2.793181,3.035386,3.997924,2.912666,2.434118,3.293026,3.636876,3.071881,3.033872,4.238715,3.306962,2.8442,3.452457,2.938108,3.392682,2.540588,2.996969,3.722514,3.68206,4.85915,3.321138,2.466898,3.126163,3.049363,3.781319,3.224201,2.956484,3.494981,3.554623,3.21433,3.148207,2.551721,3.579267,3.836994,3.283555,2.436785,3.333281,3.146005,3.076334,3.35912,3.593932,3.335521,3.151473,2.77916,4.325101,2.766012,3.303628,3.81285,3.163159,2.945602,4.095522,3.781213,4.049198,2.865703,3.525674,4.271335,3.208349,2.948629,2.427885,2.691124,3.716711,3.440113,3.32652,3.716853,3.312459,2.950666,3.354703,2.730335,3.707485,3.459975,3.497767,3.500234,3.261084,3.312785,3.107207,3.657417,3.237318,2.353368,3.976817,2.884248,2.925135,3.270616,3.18012,2.693596,3.201636,2.910566,2.990383,2.986847,3.182282,2.958622,4.164083,2.87636,3.046107,3.148868,2.378195,3.698488,4.106068,3.142328,3.326826,3.615844,2.915961,3.621419,4.35228,4.317429,3.386816,3.003685,2.787095,3.278394,3.47968,3.424804,3.363168,3.681715,3.574136,3.494098,3.34615,3.4134,3.508197,4.208295,3.097519,3.056035,3.458908,3.102937,4.653551,4.010303,3.222133,4.167243,3.886966,4.204443,3.87501,3.534122,4.121319,4.341971,4.007605,3.724114,3.717078,3.769431,3.90811,3.652363,3.072274,4.175797,4.125593,3.049672,4.420588,3.964667,3.569033,3.534776,3.195375,3.991613,4.420139,3.16142,3.910398,3.234652,4.851398,4.011444,3.922426
IL4,2.13308,1.832285,2.199975,1.690906,2.131787,2.261463,1.764887,1.969121,1.90935,2.2475,1.849738,1.771416,1.816308,2.045858,1.937592,1.841147,2.215966,1.858172,1.937767,2.247796,2.050083,2.093368,1.987823,1.990938,1.861732,1.680494,1.673737,1.835495,1.891235,2.169332,1.850443,1.694005,2.358195,2.038154,2.00458,1.940258,1.998523,1.66677,1.734134,1.869044,2.032328,1.814837,1.861732,2.14127,1.796065,1.895998,2.043204,1.824113,2.075277,2.155859,2.030215,1.765787,2.051143,1.705944,1.49198,1.662516,1.841482,1.992138,1.728844,2.073514,2.324919,1.755239,2.124275,1.928468,1.752185,1.797703,1.847673,2.076028,1.633346,1.72523,2.10452,1.689535,1.647559,1.882026,1.816965,1.675019,1.776045,1.730254,1.882665,1.734099,1.77795,1.519227,2.127744,1.967428,2.180119,1.803998,1.796861,2.026608,1.628633,2.118188,1.584587,2.163034,1.918786,1.808879,1.819284,1.862348,1.996598,1.832644,2.067003,2.117978,2.278386,1.863641,2.141136,1.798521,1.862471,1.865709,1.886581,1.678823,2.2585,1.81355,1.766093,1.796774,1.773504,1.842116,1.883959,2.071709,2.087173,2.14987,1.916546,1.825402,2.041894,1.712146,1.74999,1.745563,1.699486,1.869626,2.014224,2.023158,2.067154,3.101349,1.841147,1.867786,1.679301,1.823054,2.02991,1.890459,1.801524,2.055693,2.331464,1.920911,1.975366,2.316272,1.875248,1.867306,2.327709,2.181016,1.996531,2.296418,1.884831,2.087512,1.675316,1.847035,1.865709,2.149407,1.971644,1.885998,1.920452,1.922353,1.668758,1.90705,1.959846,1.889114,2.367573,1.869819,2.129807,2.004594,2.060669,2.118357,2.368809,1.943769,2.394695,2.231136,2.119714,2.621945,2.036002,2.142167,2.121182,1.964256,2.996208,2.838226,2.546624,2.418004,2.178144,2.237599,2.753893,2.752363,2.23748,2.037585,2.074563,2.211896,2.608982,2.686798,2.047876,2.047089,1.969161,2.052942,2.585745,2.49426,2.181157,2.162493,2.135785,2.082023,2.508532,1.971042,2.086232,2.310555,2.137028,2.11505,2.557926,2.110582,2.152661,1.947179,2.129264,2.141813,1.948269,2.016305,1.859182,1.852179,2.141185,2.120325,1.831693
IL4R,6.487825,6.332404,6.057576,6.350769,6.221267,5.895247,6.389829,6.433053,5.788022,6.345723,6.55554,6.390607,6.101412,6.412911,6.599871,6.290688,6.397532,6.194119,5.788866,6.452117,5.729788,6.366941,6.252863,5.848139,6.259428,6.305083,6.512907,6.00701,6.409984,6.400134,6.238722,6.960808,6.866879,6.665556,6.836624,6.621755,7.099758,6.420391,6.670279,6.707788,6.919296,6.893866,6.987727,7.413471,6.923898,7.168466,7.192753,6.69,6.432468,6.748593,7.382079,7.070706,6.66125,6.570971,6.978285,7.206166,6.754176,7.042907,6.657588,7.395873,7.231475,6.683911,6.965378,6.87711,6.869194,7.107143,7.266061,7.21816,6.773419,6.564452,6.37756,6.699266,6.725157,6.96519,6.357387,6.76097,6.936719,6.970752,7.377859,6.871378,6.694508,6.891925,7.221766,6.977348,6.759045,6.9573,7.041454,7.181343,6.716796,6.555718,6.9276,6.907437,6.715981,6.610404,6.671415,6.328576,6.577609,6.649054,7.444925,6.830748,6.969437,6.712405,6.930401,6.79602,6.943175,6.95656,6.668328,7.013043,6.319048,7.271419,6.840517,6.403039,6.910643,7.353461,6.419299,7.262274,6.785018,7.223525,6.58544,6.41619,6.960544,6.929938,6.93931,6.214514,6.50177,6.785691,7.09447,6.439058,6.895351,6.523415,7.013471,6.837049,7.329724,6.639217,7.042118,6.909565,6.673344,7.01005,6.372165,7.056748,6.89317,7.230281,6.741175,6.702424,7.548113,7.051809,6.623202,6.550951,6.891819,6.977459,6.520262,7.007761,7.054803,6.621074,6.760606,6.658669,6.921128,7.043424,6.343908,6.120313,6.787401,7.448502,5.598623,7.604173,7.298545,6.677862,6.67595,7.029681,6.135932,6.658842,7.112697,6.690228,6.251599,6.393429,6.626911,6.975352,7.294695,6.296023,6.635144,6.941023,6.979272,6.754645,6.951819,6.84298,7.292152,6.978415,7.096337,7.083591,6.630681,7.22286,6.723011,7.189101,7.224017,7.266884,6.876049,6.851154,7.022016,7.004707,7.062403,6.975934,6.783106,6.844068,6.329595,7.031168,6.535667,6.895023,6.808484,7.081679,6.639656,6.849519,6.635625,6.708754,6.26743,6.865673,6.957763,6.679498,7.12671,6.942558,7.119914,7.009789,7.199312
IL5,2.008499,1.591026,1.58634,1.228651,1.423894,2.168846,1.286228,1.42314,1.512815,1.694782,1.59491,1.755911,1.354357,1.321567,1.644506,1.744806,1.411263,1.496033,2.023928,1.435953,1.726302,1.638979,1.567165,1.59402,1.720701,1.590161,1.350457,1.552006,1.366663,1.326913,1.374196,1.427782,1.787075,1.538195,1.672778,1.683479,1.549576,1.950116,1.485911,2.116613,1.616226,1.735265,1.623104,1.76255,1.507683,1.703788,1.847306,1.400762,1.693515,1.683377,1.581848,2.054037,1.539714,1.386387,1.648684,1.548362,1.815445,1.952798,1.610258,1.594872,1.62314,1.536626,1.537795,1.961789,1.625473,1.9778,1.851848,1.417372,1.751461,1.431854,1.779096,1.673902,1.547498,1.764194,2.162781,1.55445,1.683479,1.477693,2.032729,1.591946,1.565409,1.505048,1.473084,1.69771,1.507488,1.670033,1.388174,1.515121,1.664051,1.519067,1.42869,1.61474,1.656886,1.762862,1.563563,1.547046,1.537803,1.833355,1.959283,1.584074,1.920007,1.812066,2.051015,1.825506,1.712312,1.465937,1.50218,1.674066,1.848672,1.604411,1.464872,1.849241,1.574359,1.477723,1.735613,1.606661,1.483542,1.481141,1.46846,2.059458,1.889229,1.514731,1.387501,1.674924,1.608062,1.639,1.485994,1.987797,1.415197,2.709485,1.77052,2.044101,1.93119,1.736454,1.817165,1.720902,1.531108,1.855925,1.759122,1.514004,1.490053,1.740916,1.500598,1.630382,1.703403,1.875646,1.590328,1.735913,1.783376,1.92534,1.86228,1.680111,1.943943,1.595993,1.897967,1.576082,1.794734,2.201762,1.480208,1.894148,1.658364,1.836942,2.123838,1.853752,2.070115,1.575733,1.684303,1.781248,1.985699,2.00404,1.871019,1.607472,1.806851,2.19351,1.639132,2.064101,1.495466,1.809174,1.680019,2.566473,2.351737,1.832142,2.014033,1.819338,1.745056,1.539679,1.958783,1.720392,2.048696,1.83516,2.236312,1.993711,1.765997,1.93464,1.535635,1.647873,1.605744,2.882766,2.193916,1.794068,1.695304,1.851958,1.820626,2.006249,1.645762,1.539419,1.610243,1.368259,2.228626,1.61768,2.828947,1.869052,1.650202,2.539878,2.193732,1.710375,1.536966,1.534508,1.7321,1.474706,1.702342
IL5RA,3.880493,7.806269,5.827393,7.05189,6.154693,4.799259,6.13026,6.375538,7.918847,6.11524,4.669526,6.794296,6.936574,4.839307,5.931743,6.127953,5.186244,7.288698,4.631446,4.9464,4.127493,4.76399,4.344685,7.707557,7.112071,6.75601,6.339719,7.10025,6.906316,5.132968,6.209736,6.237383,5.554682,5.775432,5.692849,6.842153,4.366947,6.047529,6.767756,5.348806,6.642999,6.293986,6.481457,5.070032,5.978048,5.986946,6.147063,7.585251,5.66023,5.83917,5.413428,5.264153,5.725536,5.798849,5.561431,6.363976,5.486052,5.140151,7.689639,6.310259,5.711729,7.262824,5.995348,6.09991,7.346181,4.373777,6.396061,6.861571,6.430863,6.224519,7.620969,7.103511,7.14231,7.119729,7.08263,4.73299,6.122839,5.875231,3.071397,5.474954,5.267475,7.617161,4.578789,4.097498,6.664824,6.4014,3.100524,5.015226,7.072708,4.93315,6.149601,5.166535,5.299393,4.871027,5.033706,6.841784,6.905754,6.00591,4.515599,5.197197,5.153109,5.628297,5.521543,5.125197,3.77311,4.067257,4.732826,4.428441,5.267519,3.915227,6.587599,6.015167,3.461397,4.88913,5.440782,5.088228,7.079806,5.598188,6.77625,7.198264,5.961053,7.222992,7.711781,7.620333,6.904125,4.38229,4.837641,3.608972,5.953002,3.227804,4.154805,5.594214,3.572325,6.31031,5.597814,6.267748,5.955594,4.450279,5.374778,4.359238,5.095568,3.401583,4.250797,5.283802,3.985793,4.676622,5.504201,5.410543,6.600603,5.639664,5.380274,5.457575,5.409867,6.940311,5.303778,5.97629,5.404325,5.43808,6.601785,4.487138,6.415976,4.02552,5.350027,3.91075,3.898563,6.783163,7.596794,6.892464,6.570612,6.090978,5.813671,4.114029,6.991862,7.493978,6.990232,6.430315,3.779288,6.385008,5.192697,6.340811,4.997844,5.846361,5.375358,5.738007,4.379435,4.710754,5.778856,6.074824,5.675427,6.006934,6.64936,5.269397,5.414386,4.714172,5.914926,6.724293,6.010353,5.067592,5.070245,6.299532,6.356048,6.581652,7.685879,6.110947,7.332858,6.180389,6.703738,6.554327,5.846517,5.456917,5.809582,5.718424,6.107847,5.203432,6.868202,6.51002,6.574699,6.47858,5.550648,6.599143,5.598416
IL6,2.409715,3.302553,2.748691,3.039475,2.417866,2.770623,2.582357,2.927611,2.22183,2.409864,2.242397,4.240416,2.641206,2.636231,2.880611,2.344657,2.957184,2.264705,2.762688,3.156592,2.478893,2.782602,3.608777,2.741157,2.985511,2.626567,2.675365,2.468216,2.540541,2.791133,2.936946,3.355701,2.745015,2.778164,2.890343,3.011706,4.085543,2.622307,3.632267,3.234183,2.456633,2.753463,4.376629,3.122991,3.733875,2.708505,3.256678,2.64875,2.923752,2.89284,3.03569,2.926901,3.571917,2.574026,2.73279,3.957527,3.486617,2.607622,4.387828,3.48922,2.896573,2.800242,2.830815,2.689984,2.647465,2.930973,2.801175,2.859298,3.308541,2.906881,2.485438,3.260561,3.297741,3.81234,2.928502,2.827617,2.62458,2.271762,2.544898,2.234719,2.586426,2.631199,3.041284,3.021187,2.977068,3.76355,2.523747,2.382475,2.723592,2.701966,2.898435,3.076449,2.782478,2.656412,2.71281,2.940984,2.587669,2.759301,3.015769,2.503583,3.246536,2.846947,3.240903,2.784159,3.277832,2.141571,2.482664,2.368655,3.239594,2.869168,2.729099,3.505964,2.603063,3.17002,2.991307,4.004027,2.523892,2.566248,2.470273,2.786948,4.93873,2.504925,2.175394,2.485796,2.132439,2.495349,3.099573,3.0825,2.49863,3.64766,2.970415,3.136196,3.253717,2.329718,3.421673,2.479604,2.543109,3.008079,2.737731,2.41071,2.346373,3.447487,2.22997,2.87211,3.309976,2.350075,2.445505,3.240662,2.709752,2.846292,3.500154,2.362934,2.509304,2.914445,2.378672,2.314608,3.35308,2.494417,2.579528,2.869384,2.172697,2.430155,3.459733,3.457789,3.11826,3.040998,3.319741,3.450916,2.726794,2.652692,3.741841,2.938227,2.444917,2.582185,2.861561,3.126787,2.421869,3.223588,3.741451,3.06097,2.855076,2.890808,3.332646,2.967339,3.007856,3.304749,4.32276,2.641333,3.199492,2.856154,2.782229,3.087022,3.638137,3.060803,2.919034,3.483676,3.160511,2.812366,3.724827,2.757995,2.985743,2.821872,3.019389,2.734704,2.317494,3.20088,3.741029,3.604883,4.101786,3.04389,3.211194,3.390666,3.124212,3.394651,2.507404,2.652692,3.105145,2.601085,2.913432,4.029088,2.873301
ITGAM,4.404165,4.179873,4.449775,3.871284,4.280501,4.715425,3.862064,3.891604,3.989472,4.450921,3.782951,4.073652,4.347383,4.555136,3.635938,4.983967,4.273237,3.906728,3.919861,4.279174,4.535289,3.915286,4.305498,4.447003,4.443824,4.109817,3.672545,4.106216,4.127365,4.319722,4.060318,4.046054,6.563138,4.760899,4.023393,4.745829,4.906465,4.189645,3.964452,4.506388,4.197353,4.165276,4.737636,4.255845,4.895142,4.425979,4.358528,3.907312,4.989264,4.223189,4.598027,4.378198,3.935326,4.459049,4.206748,4.12915,4.578948,4.254178,4.114336,4.230185,3.968849,5.203636,4.697013,4.505325,3.76819,4.766677,4.086907,4.148276,4.441851,4.131303,4.111712,5.061608,4.180754,4.188313,4.55173,4.209876,3.927482,3.976129,3.976457,3.909318,5.139048,3.976698,4.269169,4.237536,4.264499,4.485764,3.922436,3.977896,4.007908,4.103968,4.263601,4.708124,4.375298,4.230899,4.176926,3.929092,4.431317,4.028292,4.020148,4.410233,4.261075,3.99202,4.848917,4.631588,4.169047,4.229243,4.03405,3.995585,4.406058,4.172291,4.334673,4.513017,3.90681,4.870365,4.621072,4.630637,4.494121,4.233543,4.014224,4.367915,4.88517,4.219841,4.172722,3.949406,4.228905,4.181305,4.419867,4.601432,3.981551,4.695759,4.116215,4.686509,4.617697,4.062797,4.942234,4.269127,4.581997,4.155677,4.860212,4.221135,4.172055,4.573642,4.210968,4.24531,4.720692,4.292608,4.200227,4.83493,4.540838,3.900579,5.365142,4.214435,4.332028,4.83356,4.500916,4.019624,4.321105,4.237524,3.892516,4.543667,3.885323,4.310682,5.206505,4.580738,4.429297,4.29662,4.08356,4.265985,4.861872,4.08518,4.27035,4.295585,4.298986,4.386939,4.487847,4.659725,4.175275,4.562386,4.149692,4.088927,4.598952,5.155354,5.313035,4.882718,4.549428,4.428866,4.622061,4.78583,4.741575,4.786665,4.727256,4.704385,4.65961,4.138855,4.435711,4.09859,4.829376,4.60793,4.417044,4.229895,4.445447,4.391725,4.631847,4.635262,5.30477,4.300109,4.648163,4.63998,5.528264,4.531395,5.149784,4.270226,4.7061,5.411366,4.556179,4.399937,4.388144,4.199803,5.174316,4.668622,4.773116
JCHAIN,9.69758,7.207628,10.12094,8.272043,9.199194,8.44898,10.39324,8.688307,7.122468,9.858562,6.37962,6.018727,9.329275,9.001696,7.026924,9.736788,10.31525,6.778903,9.72628,9.904796,9.902586,8.437672,10.13033,8.256235,5.359744,8.51133,8.110658,3.228771,8.641421,8.94986,8.896246,10.24287,8.939758,7.675063,11.5696,9.146793,10.17559,9.139867,6.486151,10.63475,9.119437,10.16264,8.73291,9.386135,8.914174,9.245676,5.845523,3.550977,8.906006,6.980269,10.08984,10.09181,9.466728,11.31542,11.0166,10.83748,10.47384,9.990329,7.638843,10.0265,9.01102,7.394441,10.68321,9.8911,6.436442,9.772758,7.443525,5.858734,10.05647,8.061148,5.54495,8.627563,7.714296,4.702062,4.625118,8.881863,8.365371,5.851695,6.430727,6.084644,6.017898,6.266335,9.611365,9.233929,9.297335,7.464149,8.565366,8.040684,7.147104,8.289322,10.65234,9.06888,7.183375,9.167355,8.693555,8.021307,4.9086,5.572729,7.903724,10.59473,9.024754,9.228819,8.099944,9.494625,9.368752,8.336562,7.800112,4.641794,10.27726,9.740326,10.17017,8.323985,6.965132,11.08577,8.428659,7.708187,9.162798,9.028639,9.133415,5.441488,8.519131,7.852807,4.858219,5.323519,4.139638,8.917215,11.052,9.071608,8.69602,8.531951,8.684446,7.506987,9.080639,7.213888,10.07095,8.307922,9.322183,8.135698,5.667701,5.05331,7.181774,8.69549,6.36799,8.504666,9.726228,5.961374,9.464676,8.936874,8.796078,7.089059,10.34234,8.832614,6.443371,3.787011,9.001696,6.465152,9.345606,7.238665,8.935293,3.792735,8.79459,5.662494,8.175378,3.363808,7.44648,9.16675,4.881351,7.465996,6.897938,8.71089,9.974129,9.459059,9.327988,6.63405,9.477912,6.087379,4.830299,7.644812,8.24152,7.796804,6.967754,5.666411,7.492818,9.238262,8.202015,9.175973,7.971026,6.841709,10.10306,8.832026,4.748063,8.188424,9.412165,6.553483,9.656771,5.910737,9.774825,6.772549,4.853752,4.866398,8.416281,7.771065,7.723112,8.148207,4.687095,8.453575,9.145185,9.118584,5.991907,9.068141,7.343784,8.350011,9.668091,8.643669,9.209239,9.440384,9.403259,6.523386,9.683798,8.474524,7.229321
KLF9,6.164156,4.832644,6.150391,5.616662,5.620074,6.010762,5.702251,5.564888,4.838562,5.804407,5.281263,6.345754,5.615289,5.933457,5.746537,5.75844,5.76611,5.417085,5.673665,5.823661,6.134505,5.697619,6.064297,4.949431,5.629767,5.937275,5.414261,5.482266,5.214073,5.487773,5.485094,5.894024,5.877638,6.785623,5.6822,6.118579,6.524484,6.104228,5.970425,6.304364,6.099076,5.715543,6.217377,6.44011,5.59141,6.332099,6.521154,6.120931,6.076863,6.562309,6.244369,6.273474,5.779352,5.939955,5.456823,5.54012,6.268312,5.998457,5.553186,5.949019,5.972633,5.741857,6.02548,6.371056,5.98625,6.0767,6.120613,5.976057,6.222385,6.666312,5.739424,6.065561,5.964191,6.44659,6.229246,5.695688,5.701346,5.164598,5.084105,5.330198,6.225563,5.268645,5.865982,6.29279,5.801357,5.764028,5.296007,6.109673,5.871961,5.9397,5.618462,5.900708,5.691595,6.020837,5.795059,5.904152,5.424312,6.434536,5.994628,5.920798,6.285919,5.550903,6.227832,6.058527,5.636452,5.548275,5.979572,5.619588,5.962611,5.783783,5.76142,6.046189,5.305241,6.104503,6.548943,5.975633,5.748337,5.70479,5.429172,5.257236,5.582547,5.556564,5.908869,4.939248,5.288988,5.859199,5.591234,6.297742,6.178862,6.259953,5.727957,6.256239,5.636268,5.95215,5.77322,6.094633,5.884458,5.708289,5.968006,5.35364,5.69087,6.09761,5.874574,6.342222,5.988313,5.930969,6.162572,6.173036,5.660559,5.990269,5.761147,5.508113,5.743014,5.546556,5.703333,5.572127,6.057384,5.788743,5.568285,6.477914,6.03057,5.637297,5.561512,4.593933,5.842134,5.640774,5.556585,5.471604,4.602995,4.96932,5.12692,5.705639,5.179223,5.389014,5.094095,5.248166,5.065876,5.302279,5.86876,5.520896,5.990202,6.662587,5.634783,5.737877,5.99687,5.15452,5.537392,5.733045,5.392568,5.604502,6.407195,5.629599,6.22525,5.321252,5.983976,6.315261,5.965253,5.6183,5.864667,5.122315,5.923708,6.5898,4.97097,5.744994,6.090554,5.576562,5.560298,5.510449,5.205153,5.916397,5.556109,5.535523,6.003832,6.242094,5.295296,6.121163,5.916992,5.746467,5.901544,6.175165,5.593281
KRT5,8.938325,7.893742,8.53772,9.298904,9.070936,8.478133,9.492394,8.924084,9.361849,9.552752,10.47527,9.134712,8.725863,8.948121,9.681429,8.939873,9.411964,9.563529,9.92677,9.446139,8.063276,9.997766,8.512563,7.457276,9.768771,9.565566,9.76545,8.348124,9.444448,9.545727,9.472893,10.37185,9.840302,9.699851,10.32323,8.780334,9.79948,10.44624,10.27367,10.3705,9.815911,10.39353,9.311543,10.01498,10.0687,10.14544,9.684117,10.5677,9.174685,9.878923,10.17919,10.11437,9.621909,9.387436,10.09159,9.930904,9.671508,10.76573,9.765439,9.545859,10.23746,9.275949,10.12749,10.58312,10.27184,9.475998,9.946466,9.982651,9.044078,9.049735,6.733685,9.145131,10.04675,10.37375,7.577419,9.873181,9.709015,10.80109,10.91909,10.43958,9.803009,9.520175,10.58608,10.10939,9.55373,9.856591,11.65884,10.88157,10.0257,9.680156,9.929154,9.693578,10.0279,9.782137,10.27078,9.046844,8.558384,9.847644,9.912348,9.39209,9.706292,9.508083,9.412148,9.608928,10.4511,11.60235,10.46786,11.2543,8.719247,11.08715,10.31833,8.998354,11.6108,10.17305,8.927679,10.76213,9.907545,11.52609,10.70452,7.480886,7.998812,9.707469,9.811417,8.95068,9.498434,10.59406,9.297544,9.5854,10.75352,6.868308,9.851606,9.663864,10.57989,9.491313,9.855218,9.772583,9.84066,9.657381,8.084966,10.98614,11.16321,10.62285,11.0135,9.971538,10.38378,9.594432,9.610643,9.254474,9.592633,10.41909,8.227274,10.07223,10.65075,8.256635,9.649859,10.30141,10.02104,9.318175,10.43083,9.134496,10.27023,10.18178,7.374607,11.43146,10.87463,9.699946,9.865971,10.02887,8.879062,9.908501,10.01475,10.12241,9.009748,9.549576,9.357516,10.05341,10.84685,9.655755,9.378736,10.09599,10.39607,9.693752,9.884935,9.326469,10.6508,10.1506,10.10936,9.905645,9.627599,10.22773,9.59519,10.31362,10.20847,10.11911,9.719466,9.833384,9.515919,9.251872,10.17241,9.453133,8.795503,9.540756,7.37899,10.67172,9.175621,10.09996,9.089222,9.336487,6.478497,10.05693,7.927588,9.694633,7.994635,9.16299,9.764104,10.04807,9.867607,10.12037,10.06847,10.15172,8.959505
MARCO,4.578136,4.14344,4.823174,4.018884,4.294208,4.98059,4.329668,4.097224,4.079227,4.065042,4.130915,4.096193,4.535433,4.584249,4.495276,5.78828,4.691092,4.284285,4.373027,4.427756,4.730868,4.272644,4.557054,4.448185,4.532232,4.256739,4.226404,4.426128,4.40195,4.543141,4.307355,4.452854,5.074063,4.466149,4.279757,4.579946,4.846687,4.777601,4.640769,5.033103,4.916725,4.729339,5.562278,5.087776,4.686886,5.241161,5.498667,4.531943,5.430866,4.785128,5.218382,4.817938,4.790846,4.45429,4.686702,4.581054,5.029188,4.980333,4.532876,4.763517,4.824939,5.076345,4.922252,5.228572,4.550473,5.444761,4.887689,4.636604,5.003073,5.086805,5.306366,5.466258,4.555962,4.88401,5.264293,4.947949,4.87397,4.647897,4.659885,4.64608,4.475293,4.671623,4.539413,5.248293,4.892644,4.899115,4.449803,4.795721,4.623314,5.266982,4.957704,5.206421,5.15672,5.150732,5.001846,4.868517,5.185821,5.180605,5.549469,5.563064,5.429518,4.951292,5.798231,5.486063,4.78728,4.812646,5.07095,4.886374,4.90641,4.876198,4.956667,5.396919,4.491019,4.924509,5.48732,5.322106,4.736836,4.929666,4.740278,5.009352,5.359877,4.826523,4.461471,4.611678,5.137197,5.008695,5.207614,6.12026,5.192242,6.39948,5.077165,5.500532,5.309195,5.292866,5.088565,5.215633,4.969554,5.226578,5.669725,5.020262,4.73026,5.81986,5.118498,5.213145,5.160149,5.662161,5.325996,5.382132,5.077453,4.605961,5.412453,4.970345,4.980007,5.803145,5.386649,5.02532,5.052497,5.383003,4.766703,6.238002,4.508767,5.527111,5.85243,4.151289,4.430161,4.10819,3.987894,4.261835,4.408105,4.602062,4.260445,4.059894,4.19312,3.969842,3.975279,3.997673,4.347576,4.387041,4.258824,4.099207,4.383729,4.611141,4.609267,4.174147,4.608664,4.319702,4.22408,4.792025,4.718928,4.822552,4.990303,4.948384,4.707423,4.670485,4.577617,4.097648,4.755063,4.806501,4.752246,4.762443,4.71839,4.630735,4.510795,4.405373,4.714805,4.417001,4.628784,4.575466,5.03964,4.460544,4.507947,4.518147,4.853335,5.065242,4.546701,4.64902,4.434347,4.268951,4.609633,4.243649,4.739295
