"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050920","regulation of chemotaxis","7/135","214/18860",0.0327102803738318,4.56974731741087,4.45930136978054,0.00089172369643126,0.0294516520849102,0.0249786930169926,"CCL19/CCL5/CSF1/CXCL12/ROBO2/SERPINE1/SLAMF1",7
"GO:0034113","heterotypic cell-cell adhesion","4/135","61/18860",0.0655737704918033,9.16089860352156,5.42064326129943,0.000955369572411269,0.0311214910026575,0.0263949257496754,"CD2/ITGB7/THY1/VCAM1",4
"GO:1905523","positive regulation of macrophage migration","3/135","28/18860",0.107142857142857,14.968253968254,6.28041318873923,0.001030722479119,0.0330848766555462,0.0280601229126761,"CCL5/CSF1/SLAMF1",3
"GO:1901888","regulation of cell junction assembly","8/135","285/18860",0.0280701754385965,3.92150747238467,4.21968781302419,0.00104346751436752,0.0330848766555462,0.0280601229126761,"APLNR/CORO1C/FAM107A/FLRT2/LRRTM4/MUSK/ROBO2/THY1",8
"GO:0010818","T cell chemotaxis","3/135","29/18860",0.103448275862069,14.4521072796935,6.15556512875578,0.00114366385451845,0.0357846400795379,0.0303498607376365,"CCL5/CXCL12/PIK3CG",3
"GO:0045619","regulation of lymphocyte differentiation","7/135","227/18860",0.0308370044052863,4.30804372654593,4.25753355499202,0.00125546728955264,0.0385394815960242,0.0326863116896031,"CCL19/CD2/CTLA4/IL2RG/INPP5D/IRF4/ZBTB16",7
"GO:0010758","regulation of macrophage chemotaxis","3/135","30/18860",0.1,13.9703703703704,6.0367493810869,0.00126412092703528,0.0385394815960242,0.0326863116896031,"CCL5/CSF1/SLAMF1",3
"GO:0010810","regulation of cell-substrate adhesion","7/135","230/18860",0.0304347826086957,4.25185185185185,4.21311723082621,0.00135393207196647,0.0407550692042565,0.0345654077266856,"ABI3BP/COL1A1/CORO1C/CSF1/FAM107A/SERPINE1/THY1",7
"GO:0002685","regulation of leukocyte migration","7/135","233/18860",0.0300429184549356,4.19710697822286,4.1694519471535,0.00145834078734717,0.0427567684861639,0.0362630996500774,"CCL19/CCL5/CSF1/CXCL12/SERPINE1/SLAMF1/THY1",7
"GO:0032963","collagen metabolic process","5/135","116/18860",0.0431034482758621,6.02171136653895,4.60643455339256,0.00148259236888246,0.0427567684861639,0.0362630996500774,"COL1A1/CTSK/FAP/PCOLCE/TGFB3",5
"GO:0010812","negative regulation of cell-substrate adhesion","4/135","69/18860",0.0579710144927536,8.09876543209876,5.01588679507833,0.00151445518078867,0.0427567684861639,0.0362630996500774,"COL1A1/CORO1C/FAM107A/SERPINE1",4
"GO:0035904","aorta development","4/135","69/18860",0.0579710144927536,8.09876543209876,5.01588679507833,0.00151445518078867,0.0427567684861639,0.0362630996500774,"APLNR/COL3A1/MYH10/ROBO2",4
"GO:0050901","leukocyte tethering or rolling","3/135","32/18860",0.09375,13.0972222222222,5.81532316764853,0.00152831174151553,0.0427567684861639,0.0362630996500774,"CXCL12/ITGB7/VCAM1",3
"GO:0090025","regulation of monocyte chemotaxis","3/135","32/18860",0.09375,13.0972222222222,5.81532316764853,0.00152831174151553,0.0427567684861639,0.0362630996500774,"CCL5/CXCL12/SERPINE1",3
"GO:0060840","artery development","5/135","119/18860",0.0420168067226891,5.86990351696234,4.52493931016544,0.00165973903696471,0.0457122065665924,0.0387696816349835,"APLNR/COL3A1/MYH10/PRRX1/ROBO2",5
"GO:0060325","face morphogenesis","3/135","33/18860",0.0909090909090909,12.7003367003367,5.71189308271354,0.0016723978012168,0.0457122065665924,0.0387696816349835,"COL1A1/CRISPLD2/TGFB3",3
"GO:0002825","regulation of T-helper 1 type immune response","3/135","34/18860",0.0882352941176471,12.3267973856209,5.61284261312693,0.00182470434319717,0.048408327655037,0.041056330302798,"CCL19/IL1RL1/SLAMF1",3
"GO:0032609","type II interferon production","5/135","122/18860",0.040983606557377,5.72556162720097,4.44617989606192,0.00185196348159712,0.048408327655037,0.041056330302798,"CD2/CD96/HLA-DPB1/IL1RL1/SLAMF1",5
"GO:0032649","regulation of type II interferon production","5/135","122/18860",0.040983606557377,5.72556162720097,4.44617989606192,0.00185196348159712,0.048408327655037,0.041056330302798,"CD2/CD96/HLA-DPB1/IL1RL1/SLAMF1",5
"GO:0007596","blood coagulation","7/135","243/18860",0.0288065843621399,4.02438652644414,4.02903354598921,0.00185246333751403,0.048408327655037,0.041056330302798,"COL3A1/F2RL2/FAP/PIK3CG/PRKCQ/SAA1/SERPINE1",7
